!#D_{HI}(kpc) lgMHI/Msun dist(Mpc) PA(deg) b/a MB D25
15.20 8.87 8.0 -9.2 0.56 -13.08 5.09
9.76 8.51 5.5 -52.6 0.30 -15.89 7.15
12.98 8.65 10.1 -29.5 0.90 -15.50 4.99
18.57 8.93 10.1 -43.3 0.90 -15.25 7.34
12.94 8.75 11.8 -41.2 0.86 -15.16 7.01
15.05 9.01 7.8 -78.9 0.79 -18.06 5.22
21.69 9.09 12.8 -52.2 0.66 -14.14 16.63
9.65 8.36 8.7 -55.2 0.82 -13.12 4.50
7.74 8.32 6.0 -10.0 0.83 -13.09 3.25
27.73 9.33 16.8 -59.2 0.77 -15.54 7.06
17.75 9.13 10.5 -18.7 0.56 -17.25 11.35
13.85 8.88 10.1 -44.3 0.72 -17.65 10.28
18.81 9.08 13.0 -27.0 0.73 -17.21 9.83
52.59 9.87 30.3 -79.2 0.62 -17.43 19.28
6.38 8.23 6.1 -48.4 0.77 -14.32 3.51
12.80 8.81 10.0 -49.3 0.77 -15.85 9.63
16.26 8.85 13.2 -67.8 0.83 -15.24 6.52
11.33 8.48 7.7 -41.6 0.72 -12.48 5.25
42.18 10.01 26.4 -66.4 0.73 -19.61 8.14
20.78 9.13 12.0 -78.7 0.65 -15.96 9.61
21.14 9.19 15.3 -13.6 0.97 -16.44 11.98
60.44 10.03 47.4 -7.3 0.66 -20.66 17.97
5.47 8.04 3.5 -6.9 0.71 -14.51 2.80
36.16 9.65 19.5 -3.4 0.29 -16.85 7.67
6.10 8.20 3.5 -74.1 0.52 -15.48 4.28
2.27 7.48 3.5 -88.4 0.69 -14.10 1.69
4.45 7.85 3.5 -9.9 0.75 -14.34 1.66
14.75 8.83 9.1 -60.8 0.75 -15.63 4.32
14.11 8.87 8.1 -53.2 0.74 -18.22 11.78
15.19 8.87 8.4 -34.1 0.54 -16.08 4.75
7.18 8.18 8.4 -55.9 0.62 -14.87 6.28
11.86 8.48 8.5 -29.1 0.66 -15.15 5.93
4.78 7.85 3.2 -45.4 0.80 -11.98 4.16
12.30 8.73 6.8 -66.4 0.35 -13.75 4.97
13.42 8.75 8.4 -57.9 0.91 -13.69 8.47
10.45 8.57 7.9 -41.2 0.78 -15.91 3.73
6.72 8.11 4.8 -35.5 0.76 -12.99 4.84
11.09 8.56 8.4 -0.7 0.50 -14.70 5.86
8.82 8.43 8.4 -68.7 0.92 -14.47 5.47
8.08 8.30 4.9 -11.7 0.79 -15.75 4.99
5.05 8.15 5.9 -40.3 0.38 -13.29 4.31
7.95 8.26 5.3 -12.4 0.51 -14.09 2.97
11.18 8.51 12.6 -89.2 0.95 -14.84 6.52
7.35 8.20 5.1 -71.5 0.50 -14.39 6.04
3.95 7.78 4.4 -89.6 0.69 -13.01 2.49
20.79 9.02 12.6 -74.0 0.62 -14.84 9.64
10.51 8.48 10.4 -17.2 0.91 -14.53 4.90
20.11 9.10 15.6 -82.8 0.81 -16.11 13.09
44.45 9.85 25.1 -56.4 0.66 -19.26 14.36
24.93 9.26 15.7 -72.0 0.73 -15.84 9.13
2.19 7.07 3.2 -57.1 0.78 -11.99 2.33
22.84 9.33 2.1 -76.4 0.35 -18.06 22.92
27.74 9.28 2.2 -33.0 0.69 -17.97 18.76
28.21 9.44 3.9 -44.0 0.29 -19.80 36.68
5.66 7.95 3.9 -74.2 0.42 -16.45 7.36
10.81 8.58 4.4 -73.0 0.74 -15.49 6.70
15.85 8.80 5.0 -46.6 0.24 -15.23 12.34
18.84 9.00 5.8 -60.1 0.29 -16.09 15.08
21.31 9.34 4.1 - - -18.67 14.21
5.56 7.94 5.2 40.0 0.29 -15.35 5.29
8.98 8.35 6.1 -29.7 0.34 -15.69 6.69
4.79 7.88 5.1 50.0 0.71 -15.72 2.53
6.10 8.09 7.2 -21.4 0.68 -14.01 3.14
10.57 8.48 7.6 52.0 0.72 -15.80 7.74
6.41 8.09 7.4 -5.7 0.68 -15.07 -
10.80 8.65 7.4 -87.2 0.58 -17.25 12.92
4.03 7.80 6.1 -33.5 0.85 -13.06 2.29
5.06 7.79 7.7 -77.2 0.80 -13.20 2.91
8.83 8.27 4.9 -87.7 0.69 -127.45 4.94
6.10 7.92 4.6 -36.9 0.66 -14.56 2.79
11.29 8.48 3.8 -76.9 0.59 -14.96 2.20
6.38 8.09 7.1 39.0 0.80 -13.82 2.07
16.23 8.86 5.2 -40.1 0.91 -12.57 3.05
64.49 9.95 6.7 -12.9 0.26 -19.69 38.98
3.51 7.49 5.2 90.0 0.85 -11.99 1.97
